name,value
kBf,5.63E+02
kBr,1.73E-02
kcatE,6.66E+00
kdEf,9.79E-01
kdEr,1.52E+01
kdp,5.18E+01
kdpERK,3.77E-01
kdpMEK,5.11E-01
kdpR1,2.81E+01
kdpSOS,5.86E-03
kdR1f,9.75E-01
kdR1r,1.31E+01
kEf,1.25E+04
kEr,2.16E+01
kfpBr,5.32E+00
kfpR1r,4.12E-02
kG2f,6.52E-01
kG2r,3.33E+03
kG2SOSf,2.59E-01
kG2SOSr,5.89E+01
kiBf,1.58E-13
kiBr,1.56E+00
kiR1f,1.48E-06
kiR1r,2.20E-01
Kmgneslow,7.21E+04
knfpBR1,3.81E-13
knfpiBr,1.02E+01
knfpiR1r,1.74E-02
knfpSOS,7.84E-06
kpERK,1.16E-06
kpMEK,1.59E-04
kpR1,2.29E+03
kR1f,3.31E-05
kR1r,9.08E+01
kRgneslow,5.75E+00
kRhydro,2.71E-01
kSoff,8.72E+00
kSon,2.83E+01
kSOSf,5.52E-05
kSOSr,1.91E+00